run_id,pass_name,chunk_index,candidate_key,used,used_field_level,used_source,join_source,self_ref,page_number,token_count,final_score,cosine,rerank_norm,field_label_norm,pass_keyword_norm,anchor_text_norm,anchor_section_norm,section_norm,is_table,pattern_norm,negative_norm
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,51,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_51,False,False,direct,vertex_id,chunk_51,23,472,0.15289054452611145,0.45282071828842163,0.11505270668827361,0.0,0.8571428571428571,0.19444444444444445,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,35,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_35,False,False,direct,vertex_id,chunk_35,13,484,0.1517762602255816,0.5172793865203857,0.11934382779314916,1.0,0.7142857142857143,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,21,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_21,False,False,direct,vertex_id,chunk_21,6,103,0.13959252882198084,0.48349529504776,0.12337631260576462,0.0,0.7142857142857143,0.08333333333333333,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,18,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_18,False,False,direct,vertex_id,chunk_18,6,520,0.12937797421707575,0.48997822403907776,0.11856716340626494,0.0,0.42857142857142855,0.05555555555555555,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,17,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_17,False,False,direct,vertex_id,chunk_17,6,518,0.12142876400825975,0.4540249705314636,0.04034768292717867,0.0,0.42857142857142855,0.4166666666666667,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,54,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_54,False,False,direct,vertex_id,chunk_54,25,492,0.11820280149055021,0.5202732682228088,0.08577036905811777,0.0,0.5714285714285714,0.16666666666666666,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,2,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_2,False,False,direct,vertex_id,chunk_2,1,501,0.09808397341608367,0.4038429260253906,0.0278137031458134,0.0,0.5714285714285714,0.3611111111111111,1.0,1.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,49,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_49,False,False,direct,vertex_id,chunk_49,22,412,0.0936106957695287,0.5168396830558777,0.061178263337096264,1.0,0.7142857142857143,0.1111111111111111,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,8,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_8,False,False,direct,vertex_id,chunk_8,3,503,0.0892040274050611,0.5118141770362854,0.0837986219996557,0.0,0.5714285714285714,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
e864ba84-6b3c-41d8-8da3-688cb3034524,missile_airframe,15,e864ba84-6b3c-41d8-8da3-688cb3034524:chunk_15,False,False,direct,vertex_id,chunk_15,5,339,0.085120026825243,0.45556512475013733,0.00944435114956732,0.5,0.7142857142857143,0.3611111111111111,1.0,1.0,0.0,0.0,0.0
